work_order_id,property_id,trade,urgency,status,recommended_vendor_id,recommended_vendor_name,match_score,vendor_sla_pct,vendor_quality,vendor_response_hrs
WO00001,P040,plumbing,low,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00002,P009,general,emergency,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00004,P048,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00005,P014,general,high,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00008,P044,general,high,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00009,P007,plumbing,low,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00010,P045,electrical,medium,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00011,P028,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00013,P023,electrical,low,open,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00014,P038,HVAC,high,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00016,P031,plumbing,low,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00017,P040,general,high,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00022,P026,general,high,in-progress,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00026,P002,plumbing,low,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00028,P005,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00030,P010,general,medium,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00031,P028,plumbing,high,open,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00032,P006,plumbing,medium,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00034,P021,electrical,medium,in-progress,V008,Keystone Electrical Pro,70.0,82.9,3.6,20.5
WO00036,P032,general,high,open,V016,Granite General Works,72.3,78.6,4.3,24.5
WO00041,P009,plumbing,low,in-progress,V017,Apex Plumbing Services,86.0,93.7,4.4,11.7
WO00047,P032,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00053,P010,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
WO00057,P021,HVAC,medium,in-progress,V011,Omega Hvac Pro,79.6,83.9,4.4,16.5
