work_order_id,tenant_id,property_id,unit_number,trade,urgency,status,description,created_at,resolved_at,resolution_hours,assigned_vendor,predicted_trade,predicted_urgency,ai_confidence,trade_match,urgency_match
WO00001,T0456,P040,141,plumbing,low,in-progress,Low water pressure throughout entire unit,2024-10-29 16:00,,,V028,plumbing,medium,0.95,true,false
WO00002,T0181,P009,16,general,emergency,in-progress,Mold spots appearing on bathroom ceiling near vent,2025-01-06 19:00,,,V016,general,high,0.85,true,false
WO00003,T0184,P012,70,HVAC,emergency,resolved,Strange burning smell coming from air vents,2024-08-14 19:00,2024-08-15 04:11,9.2,V006,HVAC,emergency,0.98,true,true
WO00004,T0164,P048,16,plumbing,medium,in-progress,Water stain appearing on ceiling — possible leak from unit above,2024-11-12 10:00,,,V028,plumbing,high,0.95,true,false
WO00005,T0034,P014,141,general,high,in-progress,"Hole in drywall in hallway, about the size of a fist",2024-07-23 15:00,,,V021,general,low,0.95,true,false
WO00006,T0367,P032,116,plumbing,medium,resolved,Low water pressure throughout entire unit,2024-11-10 20:00,2024-11-16 01:46,125.8,V003,plumbing,medium,0.95,true,true
WO00007,T0026,P007,25,general,medium,resolved,"Cabinet hinge in kitchen broken, door hanging loose",2024-08-01 08:00,2024-08-07 12:04,148.1,V021,general,low,0.98,true,false
WO00008,T0303,P044,3,general,high,open,"Front door lock sticking, key requires extreme force",2025-04-26 19:00,,,,general,medium,0.9,true,false
WO00009,T0439,P007,134,plumbing,low,in-progress,Low water pressure throughout entire unit,2024-06-19 15:00,,,V028,plumbing,medium,0.95,true,false
WO00010,T0021,P045,61,electrical,medium,open,Circuit breaker keeps tripping for bedroom circuit,2024-12-30 18:00,,,,electrical,medium,0.95,true,true
WO00011,T0155,P028,10,electrical,medium,in-progress,Circuit breaker keeps tripping for bedroom circuit,2025-03-12 19:00,,,V008,electrical,medium,0.95,true,true
WO00012,T0253,P013,34,plumbing,medium,resolved,"Bathtub faucet handle broken off, can't turn water off",2025-02-08 20:00,2025-02-16 07:42,179.7,V001,plumbing,emergency,0.98,true,false
